direction,source_rule,target_rule,edge_kind,jump_delta,source_line,source_region,target_region,cross_boundary,source_fact_evidence,target_resolution_evidence,boundary_classification_evidence,raw_jump_or_successor
INCOMING,1793,1794,fall-through,,20819,OUTSIDE_R07,R07,YES,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1793 -> rule 1794
OUTGOING,1794,1795,fall-through,,20831,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1794 -> rule 1795
OUTGOING,1795,1796,fall-through,,20851,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1795 -> rule 1796
OUTGOING,1795,1796,up-jump,1,20851,R07,R07,NO,DIRECT_DONOR_TEXT,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,(up-jump-rule 1)
OUTGOING,1796,1797,fall-through,,20859,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1796 -> rule 1797
OUTGOING,1797,1798,fall-through,,20873,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1797 -> rule 1798
OUTGOING,1798,1799,fall-through,,20884,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1798 -> rule 1799
OUTGOING,1799,1800,fall-through,,20894,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1799 -> rule 1800
OUTGOING,1800,1801,fall-through,,20902,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1800 -> rule 1801
OUTGOING,1801,1802,fall-through,,20913,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1801 -> rule 1802
OUTGOING,1802,1803,fall-through,,20925,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1802 -> rule 1803
OUTGOING,1803,1804,fall-through,,20932,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1803 -> rule 1804
OUTGOING,1804,1805,fall-through,,20949,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1804 -> rule 1805
OUTGOING,1805,1806,fall-through,,20965,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1805 -> rule 1806
OUTGOING,1806,1807,fall-through,,20975,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1806 -> rule 1807
OUTGOING,1807,1808,fall-through,,20983,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1807 -> rule 1808
OUTGOING,1808,1809,fall-through,,20993,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1808 -> rule 1809
OUTGOING,1809,1810,fall-through,,21008,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1809 -> rule 1810
OUTGOING,1810,1811,fall-through,,21018,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1810 -> rule 1811
OUTGOING,1811,1812,fall-through,,21028,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1811 -> rule 1812
OUTGOING,1812,1813,fall-through,,21043,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1812 -> rule 1813
OUTGOING,1813,1814,fall-through,,21052,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1813 -> rule 1814
OUTGOING,1814,1815,fall-through,,21060,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1814 -> rule 1815
OUTGOING,1815,1816,fall-through,,21071,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1815 -> rule 1816
OUTGOING,1816,1817,fall-through,,21078,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1816 -> rule 1817
OUTGOING,1817,1818,fall-through,,21088,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1817 -> rule 1818
