direction,source_rule,target_rule,edge_kind,jump_delta,source_line,source_region,target_region,cross_boundary,source_fact_evidence,target_resolution_evidence,boundary_classification_evidence,raw_jump_or_successor,source_source_lines,source_state_reads,source_state_reads_evidence_class,source_state_writes,source_state_writes_evidence_class,source_escrow_mutations,source_escrow_mutations_evidence_class,source_command_issuance,source_command_issuance_evidence_class,source_pending_object_guards,source_pending_object_guards_evidence_class,source_world_state_milestones,source_world_state_milestones_evidence_class,target_source_lines,target_state_reads,target_state_reads_evidence_class,target_state_writes,target_state_writes_evidence_class,target_escrow_mutations,target_escrow_mutations_evidence_class,target_command_issuance,target_command_issuance_evidence_class,target_pending_object_guards,target_pending_object_guards_evidence_class,target_world_state_milestones,target_world_state_milestones_evidence_class,transition_state_effect,transition_state_effect_evidence_class
INCOMING,1793,1794,fall-through,,20819,OUTSIDE_R07,R07,YES,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1793 -> rule 1794,20819-20828,NONE,NONE,(set-strategic-number sn-focus-player-number 0),DIRECT_DONOR_TEXT,NONE,NONE,(up-find-remote c: forage-bush c: 10); (up-full-reset-search); (up-set-target-point home-x),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,20831-20848,building-type-count-total blacksmith > 0; building-type-count-total farm < 17; building-type-count-total stable > 0; can-build-with-escrow farm; current-age == feudal-age; goal:gl-build-progress; goal:gl-strategy; goal:rt; idle-farm-count < 2; up-pending-objects c: farm < 3; wood-amount >= 320; wood-amount >= 90,DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,(up-build place-normal gl-escrow-state c: farm),DIRECT_DONOR_TEXT,(up-pending-objects c: farm < 3),DIRECT_DONOR_TEXT,(building-type-count-total blacksmith > 0); (building-type-count-total farm < 17); (building-type-count-total stable > 0); (idle-farm-count < 2),DIRECT_DONOR_TEXT,writes=(set-strategic-number sn-focus-player-number 0) | commands=(up-find-remote c: forage-bush c: 10); (up-full-reset-search); (up-set-target-point home-x),MECHANICALLY_DERIVED
OUTGOING,1794,1795,fall-through,,20831,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1794 -> rule 1795,20831-20848,building-type-count-total blacksmith > 0; building-type-count-total farm < 17; building-type-count-total stable > 0; can-build-with-escrow farm; current-age == feudal-age; goal:gl-build-progress; goal:gl-strategy; goal:rt; idle-farm-count < 2; up-pending-objects c: farm < 3; wood-amount >= 320; wood-amount >= 90,DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,(up-build place-normal gl-escrow-state c: farm),DIRECT_DONOR_TEXT,(up-pending-objects c: farm < 3),DIRECT_DONOR_TEXT,(building-type-count-total blacksmith > 0); (building-type-count-total farm < 17); (building-type-count-total stable > 0); (idle-farm-count < 2),DIRECT_DONOR_TEXT,20851-20857,goal:gl-current-build-item; goal:gl-strategy; up-pending-placement c: blacksmith,DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,NONE,NONE,(up-pending-placement c: blacksmith),DIRECT_DONOR_TEXT,NONE,NONE,commands=(up-build place-normal gl-escrow-state c: farm),MECHANICALLY_DERIVED
OUTGOING,1795,1796,fall-through,,20851,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1795 -> rule 1796,20851-20857,goal:gl-current-build-item; goal:gl-strategy; up-pending-placement c: blacksmith,DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,NONE,NONE,(up-pending-placement c: blacksmith),DIRECT_DONOR_TEXT,NONE,NONE,20859-20871,building-type-count-total archery-range >= 2; building-type-count-total farm < 10; building-type-count-total farm < 50; current-age >= feudal-age; goal:MILL; idle-farm-count < 2; up-pending-objects c: farm < 3; wood-amount >= 120; wood-amount >= 80,DIRECT_DONOR_TEXT,(set-goal SPLIT 1),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,(up-pending-objects c: farm < 3),DIRECT_DONOR_TEXT,"(and(wood-amount >= 80)
    (building-type-count-total farm < 10)); (building-type-count-total archery-range >= 2); (building-type-count-total farm < 10); (building-type-count-total farm < 50); (idle-farm-count < 2); (or	(wood-amount >= 120)
    (and(wood-amount >= 80)
    (building-type-count-total farm < 10)))",DIRECT_DONOR_TEXT,NONE,NONE
OUTGOING,1795,1796,up-jump,1,20851,R07,R07,NO,DIRECT_DONOR_TEXT,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,(up-jump-rule 1),20851-20857,goal:gl-current-build-item; goal:gl-strategy; up-pending-placement c: blacksmith,DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,NONE,NONE,(up-pending-placement c: blacksmith),DIRECT_DONOR_TEXT,NONE,NONE,20859-20871,building-type-count-total archery-range >= 2; building-type-count-total farm < 10; building-type-count-total farm < 50; current-age >= feudal-age; goal:MILL; idle-farm-count < 2; up-pending-objects c: farm < 3; wood-amount >= 120; wood-amount >= 80,DIRECT_DONOR_TEXT,(set-goal SPLIT 1),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,(up-pending-objects c: farm < 3),DIRECT_DONOR_TEXT,"(and(wood-amount >= 80)
    (building-type-count-total farm < 10)); (building-type-count-total archery-range >= 2); (building-type-count-total farm < 10); (building-type-count-total farm < 50); (idle-farm-count < 2); (or	(wood-amount >= 120)
    (and(wood-amount >= 80)
    (building-type-count-total farm < 10)))",DIRECT_DONOR_TEXT,NONE,NONE
OUTGOING,1796,1797,fall-through,,20859,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1796 -> rule 1797,20859-20871,building-type-count-total archery-range >= 2; building-type-count-total farm < 10; building-type-count-total farm < 50; current-age >= feudal-age; goal:MILL; idle-farm-count < 2; up-pending-objects c: farm < 3; wood-amount >= 120; wood-amount >= 80,DIRECT_DONOR_TEXT,(set-goal SPLIT 1),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,(up-pending-objects c: farm < 3),DIRECT_DONOR_TEXT,"(and(wood-amount >= 80)
    (building-type-count-total farm < 10)); (building-type-count-total archery-range >= 2); (building-type-count-total farm < 10); (building-type-count-total farm < 50); (idle-farm-count < 2); (or	(wood-amount >= 120)
    (and(wood-amount >= 80)
    (building-type-count-total farm < 10)))",DIRECT_DONOR_TEXT,20873-20882,building-type-count-total blacksmith >= 1; building-type-count-total farm < 10; building-type-count-total farm < 7; goal:SPLIT; goal:rt,DIRECT_DONOR_TEXT,(set-goal SPLIT 2),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,NONE,NONE,"(and(up-compare-goal rt < 2)
    (building-type-count-total farm < 10)); (and(up-compare-goal rt >= 2)
    (building-type-count-total farm < 7)); (building-type-count-total blacksmith >= 1); (building-type-count-total farm < 10); (building-type-count-total farm < 7); (or	(and(up-compare-goal rt >= 2)
    (building-type-count-total farm < 7))
    (and(up-compare-goal rt < 2)
    (building-type-count-total farm < 10))); (or	(building-type-count-total blacksmith >= 1)
    (or	(and(up-compare-goal rt >= 2)
    (building-type-count-total farm < 7))
    (and(up-compare-goal rt < 2)
    (building-type-count-total farm < 10))))",DIRECT_DONOR_TEXT,writes=(set-goal SPLIT 1),MECHANICALLY_DERIVED
OUTGOING,1797,1798,fall-through,,20873,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1797 -> rule 1798,20873-20882,building-type-count-total blacksmith >= 1; building-type-count-total farm < 10; building-type-count-total farm < 7; goal:SPLIT; goal:rt,DIRECT_DONOR_TEXT,(set-goal SPLIT 2),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,NONE,NONE,"(and(up-compare-goal rt < 2)
    (building-type-count-total farm < 10)); (and(up-compare-goal rt >= 2)
    (building-type-count-total farm < 7)); (building-type-count-total blacksmith >= 1); (building-type-count-total farm < 10); (building-type-count-total farm < 7); (or	(and(up-compare-goal rt >= 2)
    (building-type-count-total farm < 7))
    (and(up-compare-goal rt < 2)
    (building-type-count-total farm < 10))); (or	(building-type-count-total blacksmith >= 1)
    (or	(and(up-compare-goal rt >= 2)
    (building-type-count-total farm < 7))
    (and(up-compare-goal rt < 2)
    (building-type-count-total farm < 10))))",DIRECT_DONOR_TEXT,20884-20892,current-age == castle-age; goal:SPLIT; goal:gl-current-build-item; up-research-status c: ri-elite-skirmisher >= research-pending,DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,(up-build place-normal gl-escrow-state c: farm),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,writes=(set-goal SPLIT 2),MECHANICALLY_DERIVED
OUTGOING,1798,1799,fall-through,,20884,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1798 -> rule 1799,20884-20892,current-age == castle-age; goal:SPLIT; goal:gl-current-build-item; up-research-status c: ri-elite-skirmisher >= research-pending,DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,(up-build place-normal gl-escrow-state c: farm),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,20894-20899,NONE,NONE,(set-goal SPLIT 0); (set-goal gl-escrow-state with-escrow),DIRECT_DONOR_TEXT,(set-goal gl-escrow-state with-escrow),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,NONE,NONE,commands=(up-build place-normal gl-escrow-state c: farm),MECHANICALLY_DERIVED
OUTGOING,1799,1800,fall-through,,20894,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1799 -> rule 1800,20894-20899,NONE,NONE,(set-goal SPLIT 0); (set-goal gl-escrow-state with-escrow),DIRECT_DONOR_TEXT,(set-goal gl-escrow-state with-escrow),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,NONE,NONE,20902-20911,building-type-count-total farm < 50; can-build farm; goal:MILL; idle-farm-count < 2; up-pending-objects c: farm < 2; wood-amount >= 90,DIRECT_DONOR_TEXT,(set-goal SPLIT 1),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,(up-pending-objects c: farm < 2),DIRECT_DONOR_TEXT,(building-type-count-total farm < 50); (idle-farm-count < 2),DIRECT_DONOR_TEXT,writes=(set-goal SPLIT 0); (set-goal gl-escrow-state with-escrow) | escrow=(set-goal gl-escrow-state with-escrow),MECHANICALLY_DERIVED
OUTGOING,1800,1801,fall-through,,20902,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1800 -> rule 1801,20902-20911,building-type-count-total farm < 50; can-build farm; goal:MILL; idle-farm-count < 2; up-pending-objects c: farm < 2; wood-amount >= 90,DIRECT_DONOR_TEXT,(set-goal SPLIT 1),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,(up-pending-objects c: farm < 2),DIRECT_DONOR_TEXT,(building-type-count-total farm < 50); (idle-farm-count < 2),DIRECT_DONOR_TEXT,20913-20923,current-age >= castle-age; goal:SPLIT; goal:gl-current-build-item; goal:gl-strategy; up-research-status c: ri-horse-collar >= research-complete; wood-amount >= 260,DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,(build farm),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,writes=(set-goal SPLIT 1),MECHANICALLY_DERIVED
OUTGOING,1801,1802,fall-through,,20913,R07,R07,NO,MECHANICALLY_DERIVED_SOURCE_ORDER,MECHANICALLY_DERIVED,MECHANICALLY_CLASSIFIED,rule 1801 -> rule 1802,20913-20923,current-age >= castle-age; goal:SPLIT; goal:gl-current-build-item; goal:gl-strategy; up-research-status c: ri-horse-collar >= research-complete; wood-amount >= 260,DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,(build farm),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,20925-20929,NONE,NONE,(set-goal SPLIT 0),DIRECT_DONOR_TEXT,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,commands=(build farm),MECHANICALLY_DERIVED
